"CONCAT('[',num.LAT,',',num.LON,'],')"
"[43.60156698,1.444110795],"
"[43.60793898,1.438645837],"
"[43.60148731,1.443542988],"
"[43.60768900,1.438800900],"
"[43.59541914,1.444168384],"
"[43.60293053,1.445091861],"
"[43.61039700,1.440007761],"
"[43.60192541,1.447334889],"
"[43.60832259,1.443727972],"
"[43.59505616,1.443954678],"
"[43.60415140,1.441492927],"
"[43.60463068,1.440985153],"
"[43.60035689,1.442494094],"
"[43.59650888,1.443533660],"
"[43.60272771,1.446075681],"
"[43.60009072,1.451494195],"
"[43.59989170,1.448736847],"
"[43.60474387,1.442704255],"
"[43.59975590,1.440651314],"
"[43.60596626,1.441892581],"
"[43.60424308,1.446297258],"
"[43.59597356,1.447238530],"
"[43.61000800,1.439199995],"
"[43.60052063,1.449315467],"
"[43.60284453,1.446060319],"
"[43.60357665,1.444939132],"
"[43.60190240,1.440943341],"
"[43.60020657,1.442696129],"
"[43.60757725,1.440525832],"
"[43.61079482,1.440802921],"
"[43.60702877,1.439908011],"
"[43.60197411,1.443592515],"
"[43.59862438,1.444198180],"
"[43.60890987,1.443886447],"
"[43.60717276,1.439904331],"
"[43.60104802,1.443678066],"
"[43.60266446,1.436711949],"
"[43.59905600,1.446169144],"
"[43.60064047,1.448854082],"
"[43.60242591,1.443717263],"
"[43.59635890,1.444429329],"
"[43.60147447,1.442589457],"
"[43.59914233,1.445894426],"
"[43.60411243,1.445284743],"
"[43.60358131,1.443278995],"
"[43.59856350,1.441016226],"
"[43.61105160,1.439817573],"
"[43.60392664,1.450220001],"
"[43.60180244,1.442209454],"
"[43.59751346,1.443260308],"
"[43.60232804,1.441130678],"
"[43.59785137,1.440278802],"
"[43.60638872,1.441844630],"
"[43.60196626,1.442341540],"
"[43.60461470,1.441803196],"
"[43.61066403,1.437783188],"
"[43.60142132,1.450692402],"
"[43.59474567,1.442290427],"
"[43.60735812,1.440965045],"
"[43.59689866,1.447078745],"
"[43.60587061,1.442811783],"
"[43.59881303,1.444168597],"
"[43.59226536,1.441944975],"
"[43.60573063,1.445788626],"
"[43.60467319,1.441467216],"
"[43.60174354,1.439844881],"
"[43.59718516,1.443615513],"
"[43.59989611,1.443707433],"
"[43.59436504,1.446115127],"
"[43.60588279,1.444384833],"
"[43.60322301,1.443412014],"
"[43.59942428,1.441427801],"
"[43.60668895,1.439408755],"
"[43.60961765,1.444302032],"
"[43.60421325,1.438072167],"
"[43.59547043,1.447313259],"
"[43.60088226,1.449430157],"
"[43.61105692,1.439544863],"
"[43.60259471,1.446227722],"
"[43.60620368,1.440139708],"
"[43.59639389,1.445023001],"
"[43.59935899,1.443931711],"
"[43.60493486,1.446192931],"
"[43.60065894,1.449559706],"
"[43.59954414,1.444979918],"
"[43.59375276,1.443430519],"
"[43.60289328,1.449019821],"
"[43.59650205,1.444363747],"
"[43.60670688,1.446085878],"
"[43.59795069,1.440301038],"
"[43.59990994,1.443397394],"
"[43.60560780,1.438011705],"
"[43.59960962,1.442488385],"
"[43.59464819,1.443073256],"
"[43.60137249,1.443706956],"
"[43.60986362,1.443180710],"
"[43.60643787,1.447505046],"
"[43.59727792,1.448505979],"
"[43.59786944,1.443622842],"
"[43.59662042,1.449823299],"
"[43.59763062,1.445945297],"
"[43.60970897,1.443729790],"
"[43.60200071,1.448249676],"
"[43.61129706,1.439328097],"
"[43.59661258,1.449910206],"
"[43.60361776,1.437306946],"
"[43.60240122,1.446567122],"
"[43.59856486,1.441784197],"
"[43.59510166,1.445328417],"
"[43.59416823,1.445537981],"
"[43.60247172,1.446453836],"
"[43.60197661,1.444447214],"
"[43.61056387,1.441700874],"
"[43.61026589,1.441634144],"
"[43.59824322,1.446648154],"
"[43.59512483,1.444374068],"
"[43.60184678,1.443496659],"
"[43.60060722,1.443701691],"
"[43.60740950,1.444779537],"
"[43.60610361,1.444738478],"
"[43.59980042,1.447302226],"
"[43.59976926,1.446993333],"
"[43.59740165,1.444316050],"
"[43.59276934,1.443269802],"
"[43.60344068,1.450232339],"
"[43.59457969,1.442666253],"
"[43.60062579,1.439737185],"
"[43.60017468,1.440330928],"
"[43.60584712,1.443072545],"
"[43.61008854,1.440498836],"
"[43.59806199,1.449241662],"
"[43.59838173,1.444229138],"
"[43.60296050,1.441969303],"
"[43.59758130,1.444286698],"
"[43.59784360,1.445716909],"
"[43.59749124,1.448302366],"
"[43.60553413,1.441891223],"
"[43.59915433,1.442772522],"
"[43.60507236,1.443699343],"
"[43.59893251,1.446358096],"
"[43.59665885,1.446651308],"
"[43.59282317,1.443256043],"
"[43.59973959,1.447464809],"
"[43.60220701,1.440167510],"
"[43.60584011,1.442552400],"
"[43.61028721,1.441212354],"
"[43.60769678,1.442046630],"
"[43.60158512,1.446798482],"
"[43.59695300,1.442419907],"
"[43.60466300,1.440711782],"
"[43.60282615,1.448042872],"
"[43.60074321,1.443772550],"
"[43.60225591,1.443126976],"
"[43.60442679,1.439218822],"
"[43.60731284,1.443617439],"
"[43.60453164,1.439649735],"
"[43.60605276,1.446313138],"
"[43.59316614,1.443321614],"
"[43.59794759,1.446085873],"
"[43.59964307,1.451678974],"
"[43.60292564,1.448077507],"
"[43.60210658,1.446748050],"
"[43.60170363,1.444900132],"
"[43.60236675,1.444003694],"
"[43.60388539,1.448486695],"
"[43.60461931,1.436810546],"
"[43.59570890,1.447641632],"
"[43.59998410,1.445563309],"
"[43.60272473,1.438506672],"
"[43.59519665,1.444359851],"
"[43.60268338,1.446126361],"
"[43.60628073,1.447199324],"
"[43.60794528,1.445794179],"
"[43.59954631,1.443803062],"
"[43.59460336,1.443086786],"
"[43.60806011,1.438283454],"
"[43.60109418,1.445101473],"
"[43.60625326,1.444486890],"
"[43.60280987,1.443484489],"
"[43.60962158,1.440585104],"
"[43.59475895,1.448631926],"
"[43.59834424,1.444118610],"
"[43.60808012,1.438431612],"
"[43.60848164,1.439499200],"
"[43.60982921,1.439960325],"
"[43.59780821,1.448442953],"
"[43.60052245,1.449451684],"
"[43.60977736,1.439453682],"
"[43.60626175,1.445787491],"
"[43.60670271,1.442431279],"
"[43.59936312,1.441565623],"
"[43.61099744,1.439806568],"
"[43.60212449,1.449423379],"
"[43.60032124,1.443188706],"
"[43.60545583,1.444098389],"
"[43.59265818,1.443037303],"
"[43.59972728,1.442534933],"
"[43.60429065,1.436472088],"
"[43.60580995,1.446331707],"
"[43.60392192,1.441833269],"
"[43.61127190,1.439465028],"
"[43.60538878,1.447816665],"
"[43.59813767,1.448843354],"
"[43.60990312,1.438100012],"
"[43.61046278,1.436214859],"
"[43.60179292,1.447524077],"
"[43.59551774,1.448154342],"
"[43.60012682,1.449486508],"
"[43.59822272,1.447131773],"
"[43.59922897,1.441630984],"
"[43.60766108,1.440734304],"
"[43.59817358,1.444147733],"
"[43.59633773,1.444863404],"
"[43.60409207,1.441766984],"
"[43.60283153,1.445763337],"
"[43.59893101,1.446246649],"
"[43.60730282,1.442205353],"
"[43.60230425,1.443373503],"
"[43.60151038,1.449277937],"
"[43.59751458,1.440671403],"
"[43.60411786,1.437009212],"
"[43.60185224,1.441229543],"
"[43.59842555,1.442803499],"
"[43.59980738,1.448491241],"
"[43.60220142,1.445766992],"
